"CO_NCM";"CO_UNID";"CO_SH6";"CO_PPE";"CO_PPI";"CO_FAT_AGREG";"CO_CUCI_ITEM";"CO_CGCE_N3";"CO_SIIT";"CO_ISIC4";"CO_EXP_SUBSET";"NO_NCM_POR";"NO_NCM_ESP";"NO_NCM_ING"
"29221995";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Tamoxifen e seu citrato";"Tamoxifeno y su citrato";"Tamoxifen and its citrate"
"29221996";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Dextropropoxifeno e seus sais protonados";"Dextropropoxifeno y sus sales protonados";"Dextropropoxyphene and its protonated salts"
"29221999";"10";"292219";"3181";"3181";"03";"51461";"240";"2000";"20";"1402";"Outros aminoalco�is, seus �teres, �steres e sais";"Los dem.aminoalcoholes, sus �teres, �steres y sales";"Other aminoalcohol, its ethers, esters and salts"
"29222100";"10";"292221";"3181";"3181";"03";"51462";"240";"2000";"20";"1402";"�cidos aminonaftolsulf�nicos e seus sais";"�cido aminonaftolsulfonico y sus sales";"Aminonaphtholsulphonic acids and their salts"
"29222210";"10";"292222";"3181";"3181";"03";"51462";"240";"2000";"20";"1402";"Dianisidinas e seus sais";"Dianisidinas y sus sales";"Dianisidines and their salts"
"29222290";"10";"292222";"3181";"3181";"03";"51462";"240";"2000";"20";"1402";"Anisidinas, fenetidinas e seus sais";"Anisidinas, fenetidinas y sus sales";"Anisidines, phenetidines and their salts"
"29222911";"10";"292229";"3181";"3181";"03";"51462";"240";"2000";"20";"1402";"P-aminofenol";"P-aminofenol";"P-aminophenol"
"29222919";"10";"292229";"3181";"3181";"03";"51462";"240";"2000";"20";"1402";"O-aminofen�is, m-aminofen�is e seus sais";"O-aminofenoles, m-aminofenoles y sus sales";"O-aminophenol, m-aminophenol and their salts"
"29222920";"10";"292229";"3181";"3181";"03";"51462";"240";"2000";"20";"1402";"Nitroanisidinas e seus sais";"Nitroanisidinas y sus sales";"Nitroanisidines and their salts"
"29222990";"10";"292229";"3181";"3181";"03";"51462";"240";"2000";"20";"1402";"Outros aminonaftois, aminofen�is, seus �teres, �steres, sais";"Los dem.aminonaftoles, aminofen.sus �teres, �steres, sales";"Other aminonaftol, aminophenol their ethers, esters, salts"
"29223010";"10";"292230";"3181";"3181";"03";"51463";"240";"2000";"20";"1402";"�cidos aminonaftolsulf�nicos e seus sais";"Aminoantraquinonas y sus sales";"Aminoantraquinones and its salts"
"29223021";"10";"292230";"3181";"3181";"03";"51463";"240";"2000";"20";"1402";"Cloridrato de ketamina";"Clorhidrato de ketamina";"Ketamine chloridrate"
"29319049";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Outros compostos organomet�licos do estanho";"Otros compuestos organomet�licos del esta�o";"Other organometallic compounds of tin"
"29319051";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"�cido metilars�nico e seus sais";"�cido metilars�nico y sus sales";"Methylarsinic acid and its salts"
"29319052";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"2-clorovinil-dicloroarsina";"2-clorovinil-dicloroarsina";"2-clorovinil-dicloroarsina"
"29319053";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Bis(2-clorovinil)cloroarsina";"Bis(2-clorovinil)cloroarsina";"Bis(2-clorovinil)cloroarsina"
"29319054";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Tris(2-clorovinil)arsina";"Tris (2-clorovinil) arsina";"Tris (2-chlorevynil) arsine"
"29319059";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Outros compostos organo-arseniais";"Los dem�s compuestos �rgano-arseniais";"Other organo-arsenic compounds"
"29319061";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Tricloreto de etilalum�nio (sesquicloreto de etilalum�nio)";"Tricloreto de etialuminio(sesquicloreto de etialuminio)";"Tricloreto de etialuminio(sesquicloreto de etialuminio)"
"29319062";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Cloreto de dietialum�nio";"Cloruro de dietialuminio";"Chloride of diethylaluminium"
"29319069";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Outros compostos organo-alum�nicos";"Los dem�s compuestos �rgano-alum�nicos";"Other organic-aluminic compounds"
"29319071";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Alquil(de C1 a C3)fosfonofluoridatos de O-alquila (de at� C10, incluindo os cicloalquila)";"Alquil(de c1 a c3)fosfonofluoridatos de o-alquila";"Alquil(de c1 a c3)fosfonofluoridatos de o-alquila"
"29319072";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Metilfosfonocloridato de O-isopropila";"Metilfosfonocloridato de o-isopropila";"Metilfosfonocloridato de o-isopropila"
"29319073";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Metilfosfonocloridato de O-pinacolila";"Metilfosfonocloridato de o-pinacolila";"Metilfosfonocloridato de o-pinacolila"
"29319074";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Difluoreto de alquilfosfonila, com grupo alquila de C1 a C3";"Difluoreto de alquilfosfonila,c/grupo de c1 a c3";"Difluoreto de alquilfosfonila,c/grupo de c1 a c3"
"29319075";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Hidrog�nio alquil(de C1 a C3)fosfonitos de [O-2-(dialquil(de C1 a C3)amino)etila], seus �steres de O-alquila (de at� C10, incluindo os cicloalquila); sais alquilados ou protonados destes produtos";"Hidrogenio alquil,fosfonitos e seus esteres,sais pro.";"Hidrogenio alquil,fosfonitos e seus esteres,sais pro."
"29319076";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Outros compostos que contenham um �tomo de f�sforo ligado a um grupo alquila (de C1 a C3), sem outros �tomos de carbono";"Out.comp.c/ 1 atomo fosforo  ligado a grup.alquila";"Out.comp.c/ 1 atomo fosforo  ligado a grup.alquila"
"29319077";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"N,N-Dialquil(de C1 a C3)fosforoamidocianidatos de O-alquila (de at� C10, incluindo os cicloalquila)";"N,n-dialquil(de c1 a c3)fosforoamidocian. de o-alquila";"N,n-dialquil(de c1 a c3)fosforoamidocian. de o-alquila"
"29319079";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Outros compostos organofosforados";"Otros compuestos organofosforados";"Other organophosphored compounds"
"29319090";"10";"293190";"3122";"3122";"03";"5155";"240";"2000";"20";"1402";"Outros compostos organo-inorg�nicos";"Los dem�s compuestos �rgano-inorg�nicos";"Other organo-inorganic compounds"
"29321100";"10";"293211";"3766";"3766";"03";"51569";"240";"2000";"20";"1402";"Tetraidrofurano";"Tetrahidrofurano";"Tetrahydrofuran"
"29321200";"10";"293212";"3766";"3766";"03";"51569";"240";"2000";"20";"1402";"2-Furalde�do (furfural)";"2-furaldeh�do (furfural)";"2-furaldehyde (furfuraldehyde)"
"29342031";"10";"293420";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"2-(Terbutilaminotio)benzotiazol (N-terbutil-benzotiazol-sulfenamida)";"2-(terbutilaminotio)benzotiazol (n-terbutil-benzot.etc)";"3-(tert-butylaminothio)benzothiaz.(n-tert-butylbenz.etc"
"29342032";"10";"293420";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"2-(Cicloexilaminotio)benzotiazol (N-cicloexil-benzotiazol-sulfenamida)";"2(ciclohexilaminotio)benzotiazol(n-ciclohexil-benzot.";"2-(cyclohexylaminothio)benzothiaz.(n-cyclohexylbenz.etc"
"29342033";"10";"293420";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"2-(Dicicloexilaminotio)benzotiazol (N,N-dicicloexil-benzotiazol-sulfenamida)";"2-(diciclohexilaminotio)benzotiazol (n, n-diciclohexil-";"2-(dicyclohexylaminothio)benzothiaz.(n, n-dicyclohex.etc"
"29342034";"10";"293420";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"2-(4-Morfoliniltio)benzotiazol (N-oxidietileno-benzotiazol-sulfenamida)";"2-(4-morfoliniltio)benzotiazol (n-oxidietileno-benz.etc";"2-(4-morpholinylthio)benzothiaz.(n-oxydiethyleneben.etc"
"29342039";"10";"293420";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Outros benzotiazois-sulfenamidas";"Los dem.benzotiazoles-sulfenamidas";"Other sulphenamide benzothiazole"
"29342040";"10";"293420";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"2-(Tiocianometiltio)benzotiazol (TCMTB)";"2-(tiocianometiltio)benzotiazol (tcmtb)";"2-(thiocyanomethylthio) benzothiazole (tcmtb)"
"29342090";"10";"293420";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Outros compostos heteroc�clicos com ciclos de benzotiazol";"Los dem.compuest.heteroc�clicos c/ciclos de benzotiazol";"Oth.heterocyclic compounds with benzothiazole ring"
"29343010";"10";"293430";"3766";"3766";"03";"51578";"240";"2000";"20";"1402";"Maleato de metotrimeprazina (maleato de levomepromazina)";"Maleato de metotrimeprazina(maleato de levomepromazina)";"Methotrimeprazine maleate (levomepromazine maleate)"
"29343020";"10";"293430";"3766";"3766";"03";"51578";"240";"2000";"20";"1402";"Enantato de flufenazina";"Enantato de flufenazina";"Fluphenazine enanthate"
"29343030";"10";"293430";"3766";"3766";"03";"51578";"240";"2000";"20";"1402";"Prometazina";"Prometazina";"Promethazine"
"29343090";"10";"293430";"3766";"3766";"03";"51578";"240";"2000";"20";"1402";"Outros compostos heteroc�clicos com estrutura de ciclo fenotiazina";"Los dem.comp.heteroc�cl.c/estrut.de ciclo fenotiazina";"Oth.heterocyclic comp.with struct.phenotiazine ring"
"29349011";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Morfolina e seus sais";"Morfolina y sus sales";"Morpholine and its salts"
"29349012";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Pirenoxina s�dica (catalino s�dico)";"Pirenoxina s�dica (catal�n s�dico)";"Pirenoxine sodium salt (catalin sodium salt)"
"29349013";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Nimorazol";"Nimorazol";"Nimorazol"
"29349014";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Anidrido isat�ico (2h-3, 1-benzoxazina-2, 4-(1h)-diona)";"Anh�drido isatoico (2h-3, 1-benzoxazina-2, 4-(1h)-diona)";"Isatoic anhydride (2h-3, 1-benzoxazine-2, 4-(1h)-dione)"
"29349015";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"4, 4'-ditiodimorfolina";"4, 4'-ditiodimorfolina";"4, 4'-dithiodimorpholine"
"29349016";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Ketazolam";"Ketazolam";"Ketazolam"
"29349017";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Dextromoramida (d-moramida) e seus sais";"Dextromoramida (d-moramida) y sus sales";"Dextromoramide (d-moramide) and its salts"
"29349018";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Fendimetrazina (""phendimetrazine"") e seus sais";"Fendimetrazina (""phendimetrazine"") y sus sales";"Phendimetrazine and its salts"
"29349019";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Outros compostos heteroc�clicos com 1 ciclo oxazina, etc.";"Los dem.compuestos heteroc�clicos c/1 ciclo oxazina, etc";"Oth.heterocyclic compounds with 1 oxazine ring, etc."
"29349021";"10";"293490";"3766";"3766";"03";"51579";"240";"2000";"20";"1402";"Cloxazolam";"Cloxazolam";"Cloxazolam and its salts"
"29414011";"10";"294140";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Cloranfenicol, seu palmitato, seu succinato e seu hemissuccinato";"Cloranfenicol,  su palmitato,  succinato o hemisuccinato";"Chloramphenicol, its palmitate, succinate or hemisuccin."
"29414019";"10";"294140";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Outros �steres do cloranfenicol";"Los dem�s �steres del cloranfenicol";"Other esters of chloramphenicol"
"29414020";"10";"294140";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Tianfenicol e seus �steres";"Tianfenicol y sus �steres";"Thiamphenicol and its esters"
"29414090";"10";"294140";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Outros derivados e sais, do cloranfenicol";"Los dem�s derivados y sales,  del cloranfenicol";"Other derivatives and salts of chloramphenicol"
"29415010";"10";"294150";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Claritromicina";"Claritromicina";"Clarithromycin"
"29415020";"10";"294150";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Eritromicina e seus sais";"Eritromicina y sus sales";"Erythromycin and its salts"
"29415090";"10";"294150";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Outros derivados da eritromicina e seus sais";"Los dem�s derivados de la eritromicina y sus sales";"Other derivatives of erythromycin and its salts"
"29419011";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Rifamicina s";"Rifamicina s";"Rifamycin s"
"29419012";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Rifampicina (rifamicina amp)";"Rifampicina (rifamicina amp)";"Rifampicin"
"29419013";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Rifamicina sv s�dica";"Rifamicina sv s�dica";"Rifamycin sv sodium"
"29419019";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Outras rifamicinas, seus derivados e sais destes produtos";"Las dem.rifamicinas, sus deriv.y sales de estos product.";"Other rifamycin, its derivatives and its salts"
"29419021";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Cloridrato de lincomicina";"Clorhidrato de lincomicina";"Lincomycin hydrochloride"
"29419022";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Fosfato de clindamicina";"Fosfato de clindamicina";"Clindamycin phosphate"
"29419029";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Lincomicina, outros derivados e sais destes produtos";"Lincomicina,  dem�s derivados y sales de estos productos";"Lincomycin, other derivatives and its salts"
"29419031";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Ceftriaxona e seus sais";"Ceftriaxona y sus sales";"Cefadroxil and its salts"
"29419032";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Cefoperazona e seus sais, e cefazolina s�dica";"Cefoperazona y sus sales,  y cefazolina s�dica";"Cefoperazone and its salts and cefazoline sodium"
"29419033";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Cefaclor e cefalexina monoidratados, e cefalotina s�dica";"Cefaclor y cefalexina monohidratados,  cefalotina s�dica";"Cefaclor and cefalexin monohydrate;cefalotin sodium"
"29419034";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Cefadroxil e seus sais";"Cefadroxil y sus sales";"Cefadroxil and its salts"
"29419035";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Cefotaxima s�dica";"Cefotaxima s�dica";"Cefotaxime sodium"
"29419036";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Cefoxitina e seus sais";"Cefoxitina y sus sales";"Cefoxitin and its salts"
"29419037";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Cefalosporina c";"Cefalosporina c";"Cephalosporin c"
"29419039";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Outras cefalosporinas e cefamicinas, derivados e sais";"Las dem.cefalosporinas y cefamicinas,  derivados y sales";"Oth.cephalosporin and cephamicin, derivatives and salts"
"29419041";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Sulfato de neomicina";"Sulfato de neomicina";"Neomycin sulphate"
"29419042";"10";"294190";"3028";"3028";"03";"54139";"240";"1000";"21";"1402";"Embonato de gentamicina (pamoato de gentamicina)";"Embonato de gentamicina (pamoato de gentamicina)";"Gentamycin embonate (gentamycin pamoate)"
"29339092";"10";"293390";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"�cido nalid�xico";"�cido nalid�xico";"Nalidixic acid"
"29339093";"10";"293390";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Clofazimina";"Clofazimina";"Clofazimine"
"29339094";"10";"293390";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Metenamina (hexametilenotetramina) e seus sais";"Metenamina (hexametilentetramina) y sus sales";"Methenamine (hexamethylenetetramine) its salts"
"29339095";"10";"293390";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Metilsulfato de amezinio";"Metilsulfato de amezinio";"Amezinium methyl sulphate"
"29339096";"10";"293390";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Hidrazida maleica e seus sais";"Hidrazida maleica y sus sales";"Maleic hydrazide and its salts"
"29339099";"10";"293390";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Outros compostos heteroc�clicos de hetero�tomos de nitrog�nio";"Los dem.comp.heteroc�cl.de hetero�tomos de nitr�geno";"Oth.heterocyclic compounds with nitrogen hetero-atom"
"29339111";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Alprazolam";"Alprazolam";"Alprazolam"
"29339112";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Camazepam";"Camazepam";"Camazepam"
"29339113";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Clonazepam";"Clonazepam";"Clonazepam"
"29339114";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Clorazepato";"Clorazepato";"Clorazepate"
"29339115";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Clorodiazep�xido";"Clorodiazep�xido";"Chlordiazapoxide"
"29339119";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Sais de alprazolam, camazepam, clonazepam, etc.";"Sales de alprazolam,  camazepam,  clonazepam,  etc.";"Salts of alprazolam, camazepam, chlordiazepoxide, etc"
"29339121";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Delorazepam";"Delorazepam";"Delorazepam"
"29339122";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Diazepam";"Diazepam";"Diazepam"
"29339123";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Estazolam";"Estazolam";"Estazolam"
"29339129";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Sais de delorazepam, diazepam ou estazolam";"Sales de delorazepam,  diazepam o estazolam";"Salts of delorazepam, diazepam or estazolam"
"29339131";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Fludiazepam";"Fludiazepam";"Fludiazepam"
"29339132";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Flunitrazepam";"Flunitrazepam";"Flunitrazepam"
"29339133";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Flurazepam";"Flurazepam";"Flurazepam"
"29339134";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Halazepam";"Halazepam";"Halazepam"
"29339139";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Sais de fludiazepam, flunitrazepam, etc.";"Sales de fludiazepam, flunitrazepam, etc.";"Salts of fludiazepam, flunitrazepam, etc."
"29339141";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Loflazepato de etila";"Loflazepato de etilo";"Ethyl loflazepate"
"29339142";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Lorazepam";"Lorazepam";"Lorazepam"
"29339143";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Lormetazepam";"Lormetazepam";"Lormetazepam"
"29339149";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Sais de loflazepato de etila, lorazepam, etc.";"Sales de loflazepato de etilo, lorazepam,  etc.";"Salts of ethyl loflazepate, lorazepam, etc."
"29339151";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Mazindol";"Mazindol";"Mazindol"
"29339152";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Medazepam";"Medazepam";"Medazepam"
"29339153";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Midazolam";"Midazolam";"Midazolam"
"29339159";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Sais de mazindol, medazepam ou midazolam";"Sales de mazindol, medazepam o midazolam";"Salts of mazindol, medazepam or midazolam"
"29339161";"10";"293391";"3766";"3766";"03";"51577";"240";"2000";"20";"1402";"Nimetazepam";"Nimetazepam";"Nimetazepam"
"29396911";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Maleato de metilergometrina";"Maleato de metilergometrina";"Methylergometrine maleate"
"29396919";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Outros derivados da ergometrina (DCI) e seus sais";"Los dem.derivados de la ergometrina (dci) y sus sales";"Other derivatives of ergometrine (inn) and its salts"
"29396921";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Mesilato de diidroergotamina";"Mesilato de dihidroergotamina";"Dihydroergotamine mesylate"
"29396929";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Outros derivados da ergotamina (DCI) e seus sais";"Los dem.derivados de la ergotamina (dci) y sus sales";"Other derivatives of ergotamine (inn) and its salts"
"29396931";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Mesilato de diidroergocornina";"Mesilato de dihidroergocornina";"Dihydroergocornine mesylate"
"29396939";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Ergocornina e outros derivados e sais";"Ergocornina y dem�s derivados y sales";"Ergocornine and other derivatives and salts"
"29396941";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Mesilato de alfa-diidroergocriptina";"Mesilato de alfa-dihidroergocriptina";"Alpha-dihydroergocryptine mesylate"
"29396942";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Mesilato de beta-diidroergocriptina";"Mesilato de beta-dihidroergocriptina";"Beta-dihydroergocryptine mesylate"
"29396949";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Ergocriptina e outros derivados e sais";"Ergocriptina y otros derivados y sales";"Ergocriptine and other derivatives and salts"
"29396951";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Ergocristina";"Ergocristina";"Ergocristine"
"29396952";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Metanossulfonato de diidroergocristina";"Metansulfonato de dihidroergocristina";"Dihydroergocristine methanesulphonate"
"29396959";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Outros derivados da ergocristina e seus sais";"Los dem�s derivados de la ergocristina y sus sales";"Other derivatives of ergocristine and its salts"
"29396990";"10";"293969";"3329";"3329";"03";"54146";"240";"1000";"21";"1402";"Outros alcal�ides da cravagem do centeio, seus derivados";"Los dem.alcaloides del cornezuelo del centeno, sus deriv";"Other alkaloids of rye ergot, its derivatives"
"29397000";"10";"293970";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Nicotina e seus sais";"Nicotina y sus sales";"Nicotine and salts"
"29399011";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Brometo de n-butilescopolam�nio";"Bromuro de n-butilescopolamonio";"N-butylscopolammonium bromide"
"29399019";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Escopolamina, outros derivados e sais";"Escopolamina,  dem�s derivados y sales";"Escopolamine, other derivatives and salts"
"29399020";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Teobromina, seus derivados e sais";"Teobromina,  sus derivados y sales";"Theobromine and its derivatives and salts thereof"
"29399031";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Pilocarpina, seu nitrato ou cloridrato";"Pilocarpina,  su nitrato o clorhidrato";"Pilocarpine its nitrate or hydrochloride"
"29399039";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Outros sais da pilocarpina";"Los dem�s sales de la pilocarpina";"Other pilocarpine salts"
"29399040";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Coca�na e seus sais";"Coca�na y sus sales";"Cacaine and its salts"
"29399041";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Coca�na e seus sais";"Coca�na y sus sales";"Cacaine and its salts"
"29399042";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Ecgonina e seus sais";"Ecgonina y sus sales";"Ecgonine and its salts"
"29399049";"10";"293990";"3329";"3329";"03";"54149";"240";"1000";"21";"1402";"Outros derivados da coca�na e seus sais";"Los dem�s derivados de la coca�na y sus sales";"Other derivatives of cocaine and its salts"
