CO_NCM;NO_NCM_POR;CO_EXP_SUBSET;NO_EXP_SUBSET_POR;NO_EXP_SUBSET_ESP;NO_EXP_SUBSET_ING;CO_EXP_SET;NO_EXP_SET;NO_EXP_SET_ESP;NO_EXP_SET_ING
01023911;Outros búfalos para reprodução, exceto raça pura, prenhe ou com cria ao pé;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01023919;Outros búfalos para reprodução, exceto reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01023990;Outros búfalos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01029000;Outros animais vivos da espécie bovina;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01029011;Outros bovinos para reprodução, prenhe ou com cria ao pé;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01029019;Outros bovinos para reprodução;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01029090;Outros bovinos vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01031000;Suínos reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01039100;Outros suínos vivos, de peso inferior a 50 kg;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01039200;Outros suínos vivos, de peso igual ou superior a 50kg;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01041011;Ovinos reprodutores de raça pura, prenhe/com cria ao pé;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01041019;Outros ovinos reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01041090;Outros ovinos vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01042010;Caprinos reprodutores de raça pura;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01042090;Outros caprinos vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01051110;Galos e galinhas, peso <= 185 g, de linha pura/híbrida, para reprodução;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01051190;Outros galos e galinhas, vivos, peso não superior a 185g;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01051200;Peruas e perus, vivos, de peso não superior a 185g;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01051300;Patos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01051400;Gansos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01051500;Galinhas-d'angola (pintadas);8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01051900;Patos, gansos e galinhas d'angola, vivos, de peso <= 185g;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01059200;Outros galos e galinhas, vivos, de peso <= 2.000 g;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01059300;Galos e galinhas, vivos, de peso superior a 2.000 g;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01059400;Outros galos e galinhas, vivos, de peso <= 2.000 g;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01059900;Patos, gansos, perus, peruas e pintadas, vivos, de peso >185 g;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01060000;Outros animais vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01060010;Avestruzes (Struthio camelus) para reprodução;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01060090;Outros animais vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01061100;Mamíferos primatas, vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01061200;"Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)";8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01061300;Camelos e outros camelídeos (Camelidae), vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01061400;Coelhos e lebres, vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01061900;Outros mamíferos vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01062000;Répteis (incluindo as serpentes e as tartarugas marinhas);8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01063100;Aves de rapina;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01063200;Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas);8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01063310;Avestruzes (Struthio camelus), para reprodução;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01063390;Outros avestruzes;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01063900;Outras aves vivas;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01063910;Avestruzes para reprodução;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01063990;Outras aves vivas;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01064100;Abelhas;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01064900;Outros insetos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
01069000;Outros animais vivos;8099;Demais produtos;Otros productos;Other products;80;DEMAIS PRODUTOS;Otros productos;Other products
02011000;Carcaças e meias carcaças de bovino, frescas ou refrigeradas;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02012010;Quartos dianteiros não desossadados de bovino, frescos/refrigerados;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02012020;Quartos traseiros não desossados de bovino, frescos/refrigados;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02012090;Outras peças não desossadas de bovino, frescas ou refrigeradas;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02013000;Carnes desossadas de bovino, frescas ou refrigeradas;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02021000;Carcaças e meias-carcaças de bovino, congeladas;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02022010;Quartos dianteiros não desossados de bovino, congelados;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02022020;Quartos traseiros não desossados de bovino, congelados;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02022090;Outras peças não desossadas de bovino, congeladas;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02023000;Carnes desossadas de bovino, congeladas;0501;Carne de boi in natura;Carne de vacuno in natura;Raw bovine meat;05;CARNE;Carne;Meat
02031100;Carcaças e meias-carcaças de suíno, frescas ou refrigeradas;0507;Carne de suíno in natura;Cerne de puerco in natura;Raw pork meat;05;CARNE;Carne;Meat
02031200;Carcaças e meias-carcaças de suíno, frescas ou refrigeradas;0507;Carne de suíno in natura;Cerne de puerco in natura;Raw pork meat;05;CARNE;Carne;Meat
02031900;Outras carnes de suíno, frescas ou refrigeradas;0507;Carne de suíno in natura;Cerne de puerco in natura;Raw pork meat;05;CARNE;Carne;Meat
02032100;Carcaças e meias-carcaças de suíno, congeladas;0507;Carne de suíno in natura;Cerne de puerco in natura;Raw pork meat;05;CARNE;Carne;Meat
02032200;Pernas, pás e pedaços não desossados de suíno, congelados;0507;Carne de suíno in natura;Cerne de puerco in natura;Raw pork meat;05;CARNE;Carne;Meat
02032900;Outras carnes de suíno, congeladas;0507;Carne de suíno in natura;Cerne de puerco in natura;Raw pork meat;05;CARNE;Carne;Meat
02041000;Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02042100;Carcaças e meias-carcaças de ovino, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02042200;Outras peças não desossadas de ovino, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02042300;Carnes desossadas de ovino, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02043000;Carcaças e meias-carcaças de cordeiro, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02044100;Carcaças e meias-carcaças de ovino, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02044200;Outras peças não desossadas de ovino, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02044300;Carnes desossadas de ovino, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02045000;Carnes de caprino, frescas, refrigeradas ou congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02050000;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02061000;Miudezas comestíveis de bovino, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02062100;Línguas de bovino, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02062200;Fígados de bovino, congelados;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02062910;Rabos de bovino, congelados;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02062990;Outras miudezas comestíveis de bovino, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02063000;Miudezas comestíveis de suíno, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02064100;Fígados de suíno, congelados;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02064900;Outras miudezas comestíveis de suíno, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02068000;Miudezas comestíveis, de ovino, etc, frescas/refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02069000;Miudezas comestíveis, de ovino, caprino, etc, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02071100;Carnes de galos/galinhas, não cortadas em pedaços, frescas/refrigeradas;0503;Carne de frango in natura;Carne de pollo in natura;Chicken raw meat;05;CARNE;Carne;Meat
02071200;Carnes de galos/galinhas, não cortadas em pedaços, congelala;0503;Carne de frango in natura;Carne de pollo in natura;Chicken raw meat;05;CARNE;Carne;Meat
02071300;Pedaços e miudezas, de galos/galinhas, frescos/refrigerados;0503;Carne de frango in natura;Carne de pollo in natura;Chicken raw meat;05;CARNE;Carne;Meat
02071400;Pedaços e miudezas, comestíveis de galos/galinhas, congelados;0503;Carne de frango in natura;Carne de pollo in natura;Chicken raw meat;05;CARNE;Carne;Meat
02072400;Carnes de peruas/perus, não cortadas em pedaços, frescas/refrigeradas;0505;Carne de peru in natura;Carne de pavo in natura;Turkey raw meat;05;CARNE;Carne;Meat
02072500;Carnes de peruas/perus, não cortadas em pedaços, congeladas;0505;Carne de peru in natura;Carne de pavo in natura;Turkey raw meat;05;CARNE;Carne;Meat
02072600;Carnes de peruas/perus, em pedaços, miudezas, frescas/refrigeradas;0505;Carne de peru in natura;Carne de pavo in natura;Turkey raw meat;05;CARNE;Carne;Meat
02072700;Carnes de peruas/perus, em pedaços e miudezas, congeladas;0505;Carne de peru in natura;Carne de pavo in natura;Turkey raw meat;05;CARNE;Carne;Meat
02073200;Carnes de patos, etc, não cortadas em pedaços, frescas/refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02073300;Carnes de patos, gansos, etc, não cortadas em pedaços, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02073400;Fígados gordos, de patos/gansos/pintadas, frescos/refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02073500;Outras carnes/miudezas, de patos, gansos, etc.frescas, refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02073600;Outras carnes, miudezas, de patos, gansos, etc, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02074100;Carnes de patos, nãoo cortada em pedaços, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02074200;Carnes de patos, não cortadas em pedaços, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02074300;Fígados gordos (foies gras) de patos, frescos ou refrigerados;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02074400;Outras carnes de patos, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02074500;Outras carnes de patos, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02075100;Carnes de gansos, não cortada em pedaços, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02075200;Carnes de gansos, não cortadas em pedaços, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02075300;Fígados gordos (foies gras) de gansos, frescos ou refrigerados;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02075400;Outras carnes de gansos, frescas ou refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02075500;Outras carnes de gansos, congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02076000;Carnes de galinhas dangola (pintadas);0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02081000;Carnes/miudezas, de coelhos/lebres, frescas/refrigeradas/congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02082000;Coxas de rã, frescas, refrigeradas ou congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02083000;Carnes de primatas, congeladas, frescas, refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02084000;Carnes de baleias, etc, congeladas, frescas, refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02085000;Carnes de répteis, congeladas, frescas, refrigeradas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02086000;Outras carnes/miudezas comestíveis, de camelos e outros camelídeos;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02089000;Carnes e miudezas, de outros animais, frescas/refrigeradas/congeladas;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02090011;Toucinho sem partes magras, fresco/refrigerado/congelado;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02090019;Toucinho sem partes magras, salgado/salmoura/seco/defumado;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02090021;Gordura de porco, fresca, refrigerada ou congelada;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02090029;Gordura de porco, não fundida, salgada, em salmoura, seca, etc;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02090090;Gordura de aves, não fundida, fresca, refrigerada, congelada, etc;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02091011;Toucinho de porco, fresco, refrigerado ou congelado;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02091019;Outros toucinhos de porco;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02091021;Gordura de porco, fresca, refrigerada ou congelada;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02091029;Outras gorduras de porco;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02099000;Outros toucinhos e gorduras;0599;Demais carnes;Otras carnes;Other meats;05;CARNE;Carne;Meat
02101100;Pernas/pás/pedaços, de suíno, não desossados, salgados, etc.;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
02101200;Barrigas e peitos, entremeados, de suíno, salgados, etc.;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
02101900;Outras carnes de suíno, salgadas ou em salmoura, secas, etc.;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
02102000;Carnes de bovinos, salgadas/em salmoura/secas/defumadas;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
02109000;Carnes e miudezas, de outros animais, salgados, etc.;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
02109100;Carnes de primatas, salgadas, secas, etc.;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
02109200;Carnes de baleias, etc, salgadas, secas, etc.;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
02109300;Carnes de répteis, salgadas, secas, etc.;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
02109900;Carnes de outros animais, salgadas, secas, etc.;0508;Carnes salgadas;Carnes saladas;Salted meats;05;CARNE;Carne;Meat
03011000;Peixes ornamentais, vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03011010;Aruana (Osteoglossum bicirrhosum), peixes ornamentais vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03011090;Outros peixes ornamentais vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03011110;Aruana (Osteoglossum bicirrhosum);2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03011190;Outros peixes ornamentais, vivos, de água doce;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03011900;Outros peixes ornamentais vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019110;Trutas (Salmo trutta e oncorhynchus), para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019190;Outras trutas (Salmo trutta e Oncorhynchus), vivas;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019210;Enguias (anguilla spp.) para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019290;Outras enguias (anguilla spp.) vivas;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019310;Carpas para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019390;Outras carpas vivas;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019410;Albacoras-azuis (Thunnus thynnus) para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019490;Outros albacoras-azuis (Thunnus thynnus) para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019510;Outros peixes para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019590;Outros peixes vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019910;Outros peixes para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019911;Tilápias, peixes para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019912;Esturjões, peixes para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019919;Outros peixes para reprodução;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019990;Outros peixes vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019991;Outros peixes tilápias, vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019992;Outros peixes esturjões, vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03019999;Outros peixes vivos;2499;Demais pescados;Otros peces;Other fish;24;PESCADOS;Pescados;Fish
03021100;Trutas frescas, refrigeradas, exceto filés, outras carnes, fígados, etc;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03021200;Salmões-do-pacífico, etc, frescos, refrigerados, exceto filés, etc.;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03021300;Salmões-do-pacifico (oncorhynchus nerka, etc), fresco ou refrigerado;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03021400;Salmão-do-atlantico e salmão-do-danubio, fresco ou refrigerado;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03021900;Outros salmonídeos frescos, refrigerados, exceto filés, etc.;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03022100;Linguados-gigantes, frescos, refrig.exceto filés, etc.;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03022200;Solhas ou patrucas, frescas, refrigeradas, exceto filés, etc.;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03022300;Linguados frescos, refrigerados, exceto filés, outras carnes, etc.;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03022400;Pregado (Psetta maxima), fresco ou refrigerado;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03022900;Outros peixes chatos, frescos, refrigerados, exceto filés, etc.;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03023100;Atuns-brancos ou germões, frescos/refrigerados, exceto filés, etc;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03023200;Albacoras/atuns barbatana amarela, frescas/refrigerado, exceto filés;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03023300;Bonitos-listrados, etc, frescos, refrigerados, exceto filés, etc.;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03023400;Albacoras-bandolim (patudos) frescos, refrigerados;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03023500;Albacoras-azuis (atuns-azuis) frescos, refrigerados;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
03023600;Atuns do sul frescos ou refrigerados;2403;Peixes congelados, frescos ou refrigerados;El pescado congelado, fresco o refrigerado;Fish, frozen, fresh or chilled;24;PESCADOS;Pescados;Fish
